moisture_content,pesticide_residue,aflatoxin_b1,microbial_load,heavy_metals,storage_duration,temperature,packaging_integrity,compliant
10.7,0.01,11.98,22874,0.145,44,23.9,Fair,0
10.5,0.037,2.88,18939,0.013,20,21.9,Fair,1
8.33,0.002,13.91,26364,0.06,18,22.1,Fair,0
10.61,0.036,3.47,2874,0.005,79,21.9,Fair,1
8.84,0.079,6.63,20268,0.005,39,35.1,Good,0
9.9,0.003,0.99,29356,0.057,11,24.9,Good,1
13.57,0.07,1.71,20455,0.016,79,34.2,Fair,0
12.46,0.048,4.56,19058,0.048,68,24.2,Good,1
10.44,0.007,6.81,15229,0.0,29,31.4,Fair,0
5.92,0.04,3.11,20970,0.076,14,26.2,Poor,1
14.73,0.04,10.75,11428,0.018,65,26.0,Good,0
13.59,0.002,8.21,2814,0.182,87,22.2,Fair,0
11.13,0.001,1.56,27524,0.057,42,24.7,Good,0
5.66,0.007,6.34,500,0.059,23,26.2,Fair,1
8.31,0.121,0.66,20201,0.027,59,24.5,Good,1
9.86,0.09,1.05,16946,0.012,7,18.7,Fair,1
14.33,0.138,0.82,17741,0.074,76,27.3,Fair,0
10.59,0.064,2.63,20672,0.006,15,21.6,Good,1
15.4,0.003,3.49,21725,0.019,43,21.7,Good,1
8.64,0.037,1.38,500,0.059,78,20.2,Good,1
9.86,0.006,2.76,27027,0.041,5,29.4,Good,1
9.26,0.001,0.33,9544,0.025,16,34.0,Fair,1
11.92,0.007,0.44,26194,0.002,84,29.6,Good,1
12.09,0.05,6.47,18147,0.021,74,31.6,Good,0
10.59,0.03,5.26,9788,0.103,23,22.6,Poor,0
11.57,0.043,2.76,10410,0.041,66,25.2,Good,1
10.36,0.003,0.12,12940,0.101,66,16.7,Fair,1
6.32,0.176,0.16,3285,0.101,54,33.4,Good,0
8.62,0.092,2.19,20218,0.122,22,17.1,Fair,0
8.12,0.05,9.59,18166,0.01,25,24.9,Good,0
13.52,0.024,2.89,24190,0.009,38,16.3,Poor,0
6.12,0.059,0.56,24286,0.175,43,25.4,Good,0
6.15,0.023,1.14,27006,0.009,19,29.3,Good,1
9.04,0.074,6.55,31613,0.044,78,23.7,Good,0
9.41,0.03,11.03,20861,0.019,48,24.6,Good,1
12.75,0.024,2.9,17771,0.034,61,30.5,Good,1
6.88,0.14,0.39,10009,0.101,20,34.6,Fair,0
10.45,0.028,3.85,17919,0.102,53,30.5,Good,1
13.56,0.02,4.21,17421,0.372,9,21.2,Poor,0
10.96,0.033,5.36,18375,0.105,39,30.9,Fair,0
6.32,0.064,2.29,13799,0.039,5,25.6,Good,1
14.78,0.02,2.38,8224,0.014,36,33.2,Fair,1
13.03,0.019,7.96,500,0.001,34,36.5,Good,0
13.07,0.037,5.79,34518,0.084,66,28.8,Good,0
10.84,0.002,10.9,8968,0.033,26,23.6,Good,1
10.54,0.015,3.77,26136,0.063,28,20.1,Good,1
9.33,0.008,2.98,10189,0.042,26,26.6,Poor,1
10.67,0.002,4.01,25913,0.151,56,25.2,Good,0
10.12,0.038,2.12,5049,0.076,28,21.5,Fair,1
7.98,0.039,2.4,17231,0.044,19,28.2,Good,1
11.24,0.001,4.11,22711,0.013,38,36.1,Good,1
7.59,0.022,5.06,28112,0.059,89,27.8,Good,0
14.89,0.004,8.98,10346,0.013,35,19.9,Good,0
10.7,0.085,4.21,2552,0.038,32,31.1,Poor,0
6.37,0.033,5.25,9359,0.041,86,24.7,Good,1
10.51,0.004,2.39,3690,0.071,34,30.5,Poor,1
11.83,0.02,0.66,24704,0.037,58,25.7,Good,1
10.4,0.061,4.93,13780,0.002,30,21.1,Good,0
6.01,0.032,1.46,6173,0.046,48,14.2,Poor,1
10.25,0.019,8.41,14208,0.101,73,21.7,Good,0
12.98,0.008,4.75,15225,0.051,74,25.0,Good,0
9.92,0.037,5.79,21542,0.01,47,19.7,Good,1
9.08,0.001,0.58,15453,0.169,41,27.6,Good,1
7.18,0.041,0.97,13847,0.048,60,23.9,Good,1
14.47,0.002,4.75,10092,0.059,10,23.5,Good,0
11.31,0.015,3.91,24525,0.037,41,18.2,Good,1
9.33,0.07,5.29,10387,0.001,27,12.0,Fair,0
5.56,0.0,1.1,16466,0.186,73,24.9,Good,1
11.74,0.024,7.44,14781,0.008,32,20.3,Fair,1
5.88,0.025,6.15,2091,0.111,86,21.7,Fair,0
13.12,0.012,7.35,32258,0.054,81,22.0,Fair,0
10.1,0.007,5.35,8972,0.036,62,23.2,Good,1
10.55,0.125,5.35,4222,0.022,70,20.1,Fair,0
13.56,0.012,0.08,20751,0.004,87,30.0,Fair,1
7.73,0.009,0.52,25625,0.052,50,27.8,Good,0
8.07,0.156,3.68,22422,0.044,68,27.7,Good,1
13.22,0.105,1.02,6641,0.029,57,15.2,Poor,0
9.34,0.087,4.15,12785,0.017,74,24.2,Fair,1
10.85,0.074,5.22,20303,0.01,51,30.9,Poor,0
11.2,0.068,0.96,9789,0.035,76,26.5,Good,1
15.11,0.014,3.33,21026,0.051,69,26.9,Good,1
9.37,0.064,0.91,8195,0.04,67,19.0,Good,1
11.33,0.032,0.02,8720,0.159,36,28.2,Good,1
12.17,0.224,1.84,12017,0.03,66,26.1,Good,0
12.8,0.048,0.01,2794,0.079,12,31.3,Good,1
8.31,0.035,3.3,16476,0.041,56,30.1,Good,1
11.78,0.028,0.32,13638,0.077,65,22.7,Fair,1
6.57,0.016,2.28,13450,0.005,23,32.6,Poor,0
11.89,0.041,2.19,24768,0.006,39,27.9,Fair,1
15.65,0.008,1.8,27345,0.02,7,25.7,Good,0
5.0,0.012,2.25,19108,0.031,46,22.3,Good,1
9.92,0.023,5.23,29178,0.073,18,20.0,Fair,0
10.91,0.126,0.29,14198,0.015,25,24.0,Poor,0
12.74,0.024,6.0,8574,0.003,46,12.9,Good,0
12.65,0.001,4.36,15535,0.138,9,27.6,Good,0
12.38,0.009,3.33,4965,0.031,87,16.9,Good,1
13.49,0.01,1.16,16604,0.037,14,30.7,Fair,1
10.53,0.031,0.34,12063,0.031,46,27.2,Good,1
12.71,0.042,3.15,15166,0.082,44,21.4,Good,1
8.06,0.007,1.6,8606,0.071,49,26.6,Fair,1
9.24,0.011,2.4,22064,0.039,47,24.6,Good,1
8.72,0.06,13.35,24187,0.011,49,29.6,Good,0
8.0,0.064,2.02,15542,0.009,64,29.3,Fair,1
9.0,0.008,8.98,11770,0.053,17,35.3,Good,0
6.8,0.065,2.81,14362,0.207,61,27.3,Fair,0
9.44,0.007,0.05,22885,0.041,49,27.9,Good,1
10.98,0.008,7.81,16347,0.062,31,31.6,Good,1
5.0,0.027,7.05,10137,0.02,19,29.2,Good,1
11.64,0.006,1.71,27923,0.053,57,23.4,Good,1
11.21,0.04,0.54,14806,0.056,32,22.7,Good,1
10.6,0.01,7.26,21970,0.059,48,18.3,Good,1
11.54,0.082,5.81,16436,0.078,61,27.0,Fair,0
9.28,0.005,2.37,23856,0.04,37,24.4,Poor,1
8.39,0.054,10.01,14275,0.016,77,27.6,Fair,0
9.22,0.001,13.17,7516,0.088,28,30.4,Fair,1
11.1,0.004,1.11,29705,0.001,44,29.0,Good,1
5.15,0.054,0.2,22602,0.111,20,33.6,Good,0
10.21,0.003,7.12,24295,0.046,14,29.9,Fair,1
11.5,0.029,2.25,9767,0.074,56,15.8,Fair,1
14.84,0.036,4.85,25519,0.014,48,23.8,Good,0
7.47,0.12,3.67,15348,0.05,11,33.5,Good,1
8.16,0.006,1.3,14703,0.178,33,18.0,Fair,1
9.75,0.009,2.91,12526,0.081,53,21.2,Good,1
9.52,0.004,3.84,20370,0.006,34,30.4,Good,1
10.06,0.197,0.56,9332,0.027,39,17.4,Poor,0
5.26,0.069,12.41,22160,0.086,5,22.6,Good,0
10.44,0.037,4.64,12851,0.03,36,20.5,Good,1
9.61,0.003,1.75,15614,0.142,61,19.5,Good,1
14.23,0.04,9.78,22625,0.064,15,26.4,Poor,0
6.57,0.0,2.19,15868,0.017,46,22.3,Good,1
10.28,0.017,5.23,22755,0.059,41,27.1,Fair,1
13.0,0.024,6.41,9635,0.086,77,24.3,Good,0
12.43,0.019,3.68,23260,0.023,19,30.6,Good,1
9.08,0.007,0.1,21237,0.052,59,22.2,Good,1
9.37,0.045,3.72,5125,0.221,43,22.0,Fair,1
8.58,0.028,13.3,14884,0.024,8,24.6,Good,1
8.89,0.056,2.45,19487,0.006,86,23.5,Good,0
13.52,0.165,1.36,17957,0.162,38,17.1,Good,0
6.62,0.032,3.12,20104,0.029,30,27.5,Good,1
9.5,0.013,13.57,11223,0.041,34,19.6,Good,1
10.72,0.027,2.06,23807,0.048,22,34.8,Good,1
17.93,0.01,13.3,2976,0.12,66,30.4,Good,0
10.29,0.005,6.32,19972,0.144,17,23.2,Good,0
13.38,0.036,1.88,14588,0.017,22,22.0,Good,1
14.12,0.034,8.03,14560,0.088,69,26.4,Good,0
9.41,0.077,2.31,13789,0.094,80,28.0,Fair,0
5.0,0.001,2.59,23992,0.059,16,29.7,Good,1
8.12,0.009,12.63,21899,0.0,89,29.8,Good,1
11.54,0.054,7.19,9868,0.07,70,27.2,Fair,0
11.05,0.004,2.67,23561,0.004,39,21.6,Good,1
9.57,0.066,11.8,500,0.004,47,26.1,Fair,0
5.18,0.011,1.32,8898,0.081,83,29.1,Good,1
9.42,0.01,4.09,15479,0.022,60,26.4,Good,1
5.0,0.035,3.92,16470,0.004,63,29.0,Fair,1
7.08,0.032,2.94,18139,0.016,47,22.5,Good,1
8.43,0.055,1.53,16218,0.0,48,23.4,Fair,1
10.47,0.011,5.4,9735,0.022,27,23.5,Fair,1
10.79,0.023,9.63,16548,0.024,86,26.3,Good,1
8.25,0.04,4.87,22723,0.169,69,31.2,Poor,0
8.15,0.061,4.13,12471,0.002,35,25.0,Good,1
11.8,0.009,1.84,10934,0.073,40,24.3,Fair,1
11.87,0.026,8.49,5889,0.012,62,17.2,Good,1
12.45,0.054,1.52,5484,0.062,21,33.2,Fair,0
8.37,0.005,2.9,13697,0.016,76,23.9,Good,1
7.02,0.03,3.62,14845,0.166,49,23.7,Fair,1
12.15,0.029,14.92,20745,0.007,6,28.4,Good,0
11.78,0.001,1.39,15814,0.021,36,32.7,Good,1
10.49,0.075,0.1,15407,0.114,71,23.9,Good,0
14.47,0.003,1.04,14173,0.069,45,16.8,Good,0
10.06,0.132,0.31,16845,0.023,24,23.1,Fair,1
9.05,0.035,0.64,18985,0.025,62,30.7,Good,1
9.3,0.025,8.83,18730,0.062,10,20.8,Good,0
16.27,0.03,1.11,31188,0.004,28,25.0,Fair,0
5.0,0.002,0.72,27267,0.029,22,22.9,Poor,0
11.77,0.121,21.05,2215,0.029,55,27.3,Good,0
11.28,0.057,0.71,15153,0.032,66,28.6,Fair,1
6.12,0.033,5.91,12495,0.0,35,25.0,Poor,0
6.25,0.016,7.54,19836,0.065,13,22.8,Good,1
9.8,0.005,1.36,20953,0.25,8,24.1,Fair,1
14.26,0.1,12.06,10196,0.043,35,21.6,Good,0
12.37,0.043,1.1,15114,0.012,8,20.2,Good,1
8.78,0.12,3.49,20490,0.029,54,33.1,Good,1
10.31,0.09,11.71,13487,0.076,45,29.6,Good,0
6.24,0.016,7.72,17909,0.012,11,12.0,Fair,1
10.6,0.016,4.73,20441,0.008,79,31.0,Good,1
8.49,0.005,5.8,14347,0.0,40,21.6,Poor,0
10.1,0.015,1.45,20434,0.068,77,19.3,Good,1
13.58,0.068,0.8,7150,0.023,81,22.0,Good,0
14.27,0.003,3.15,8356,0.076,54,27.6,Poor,0
11.95,0.014,5.01,2975,0.071,13,35.0,Good,0
19.33,0.07,4.78,12434,0.127,64,34.0,Fair,0
12.52,0.009,1.69,10061,0.02,88,27.2,Fair,1
12.34,0.118,2.74,6266,0.077,67,23.1,Good,0
5.45,0.049,6.8,12143,0.04,87,25.0,Fair,0
8.02,0.008,6.44,500,0.007,78,30.5,Good,1
12.08,0.045,6.37,11863,0.014,58,31.1,Poor,0
10.78,0.045,0.21,790,0.018,35,27.0,Fair,1
8.11,0.003,6.13,27269,0.017,41,19.4,Good,0
13.71,0.116,4.11,23939,0.011,40,32.2,Fair,0
7.11,0.023,15.72,7342,0.003,49,23.8,Fair,1
7.23,0.022,1.7,3027,0.011,46,21.7,Good,1
10.62,0.037,0.32,15554,0.004,85,22.3,Good,1
9.19,0.042,1.24,21491,0.061,56,19.3,Good,1
13.05,0.117,0.45,17171,0.008,85,27.8,Good,0
11.02,0.048,4.56,13164,0.044,26,24.8,Good,1
13.37,0.008,4.46,12327,0.189,13,24.9,Good,0
9.48,0.098,2.28,11505,0.064,5,17.0,Good,1
6.12,0.05,0.38,20517,0.011,79,21.1,Good,1
7.93,0.003,2.46,20456,0.056,11,32.4,Poor,1
11.5,0.108,3.14,18776,0.011,57,29.3,Good,1
12.66,0.019,10.14,23583,0.016,36,36.8,Fair,0
9.31,0.04,1.14,26626,0.061,41,35.0,Poor,0
7.7,0.07,1.38,11902,0.018,47,24.8,Good,1
8.52,0.043,1.21,26549,0.009,18,29.0,Fair,1
11.02,0.005,1.37,6318,0.036,50,20.9,Good,1
11.45,0.015,9.8,19378,0.153,32,25.4,Poor,0
5.0,0.004,2.0,16401,0.011,77,39.9,Fair,1
11.26,0.023,3.77,19854,0.009,62,27.8,Good,1
7.24,0.007,0.01,22806,0.036,18,29.6,Good,1
7.87,0.004,1.01,4931,0.037,56,18.1,Good,1
8.31,0.038,3.26,2312,0.039,64,15.6,Fair,1
5.0,0.082,3.99,15027,0.038,14,20.4,Good,1
10.77,0.047,0.92,21867,0.011,48,23.8,Good,1
17.86,0.04,4.67,6104,0.015,5,26.4,Fair,1
15.28,0.074,2.66,23771,0.03,20,21.9,Fair,0
7.6,0.02,6.51,14491,0.116,22,29.2,Poor,0
5.0,0.042,0.31,24600,0.028,89,22.5,Good,1
8.09,0.019,0.28,5482,0.023,44,29.5,Fair,1
13.82,0.01,4.34,13388,0.082,70,25.0,Good,1
11.37,0.061,5.57,26646,0.081,49,27.0,Fair,0
7.42,0.007,0.87,17372,0.119,69,27.3,Good,1
10.57,0.04,0.68,22530,0.032,65,20.8,Good,1
8.04,0.01,2.21,15124,0.01,11,29.5,Fair,1
11.53,0.064,1.27,23244,0.059,27,25.9,Good,1
11.66,0.008,4.75,18705,0.015,61,18.2,Fair,1
7.91,0.004,4.8,19656,0.023,41,26.7,Good,1
5.31,0.016,9.13,12364,0.116,89,28.7,Fair,0
11.41,0.003,0.4,2715,0.34,32,28.8,Fair,0
11.84,0.011,0.16,6866,0.001,35,23.8,Fair,1
13.25,0.011,0.06,4502,0.072,58,26.9,Good,1
13.27,0.08,3.54,16159,0.071,42,25.1,Fair,0
11.5,0.105,10.59,3805,0.021,49,28.1,Good,0
12.66,0.024,4.49,6528,0.142,19,32.4,Good,0
13.03,0.013,0.68,25731,0.051,55,27.8,Good,0
7.36,0.073,0.74,27433,0.091,73,29.3,Poor,0
5.0,0.007,3.4,12627,0.016,83,33.8,Good,1
14.72,0.001,2.2,16560,0.106,80,21.2,Fair,0
11.89,0.014,6.49,8565,0.295,7,26.3,Poor,0
12.46,0.075,0.26,10868,0.185,74,24.0,Fair,0
9.38,0.003,0.95,9027,0.013,44,22.5,Good,1
9.15,0.145,5.7,14505,0.016,72,27.4,Good,0
8.54,0.012,1.76,12184,0.056,10,28.0,Good,1
8.33,0.08,0.67,14748,0.018,52,20.8,Fair,1
10.55,0.006,3.91,36544,0.016,46,24.6,Good,1
7.5,0.002,2.17,28910,0.043,61,23.4,Fair,0
11.18,0.073,18.21,500,0.11,36,24.8,Fair,0
5.78,0.026,7.29,22611,0.026,32,23.2,Good,1
9.27,0.121,0.77,12601,0.042,54,36.1,Good,1
9.52,0.019,4.33,16734,0.01,28,19.5,Good,1
8.36,0.105,14.02,21666,0.042,17,31.1,Good,0
8.46,0.033,7.46,10750,0.056,23,27.4,Good,0
7.48,0.0,8.18,7906,0.079,58,21.8,Good,1
11.38,0.004,2.66,7507,0.014,82,21.7,Good,1
8.18,0.027,2.25,18661,0.045,89,22.4,Fair,1
14.17,0.001,0.91,16130,0.048,82,14.3,Good,1
5.0,0.073,0.7,28797,0.001,43,22.2,Fair,0
10.99,0.008,1.91,11399,0.069,15,31.3,Fair,1
12.06,0.106,1.96,29788,0.003,6,25.5,Fair,0
13.89,0.017,0.12,15734,0.135,27,26.3,Fair,0
12.61,0.118,8.65,11355,0.067,28,29.4,Poor,0
14.42,0.017,0.33,1884,0.021,75,23.0,Poor,0
11.92,0.003,0.39,13475,0.009,55,25.4,Good,1
5.0,0.043,5.56,18733,0.117,74,32.6,Fair,0
7.15,0.021,8.64,28978,0.113,82,30.7,Good,0
6.68,0.008,1.67,24784,0.006,67,23.7,Good,1
5.0,0.036,2.28,14450,0.009,14,29.6,Good,1
10.32,0.043,10.73,17112,0.054,81,31.4,Good,1
9.63,0.034,2.49,15746,0.006,88,32.6,Good,1
11.81,0.03,0.44,17062,0.018,84,18.8,Fair,1
5.0,0.002,0.22,8116,0.059,43,27.8,Good,1
5.99,0.018,6.94,14250,0.022,35,31.6,Fair,1
5.44,0.074,1.0,500,0.024,73,22.9,Good,1
13.46,0.108,0.51,16523,0.038,7,27.2,Good,0
11.36,0.142,3.3,7141,0.063,10,20.2,Fair,0
9.38,0.043,0.32,20716,0.026,75,14.8,Fair,1
5.88,0.004,1.75,9324,0.027,62,22.2,Good,1
10.61,0.007,7.02,14252,0.009,79,22.4,Good,1
15.26,0.127,1.0,15147,0.109,84,26.1,Fair,0
12.08,0.056,3.03,9135,0.066,75,34.1,Good,0
13.6,0.023,1.91,16122,0.123,26,24.7,Good,0
13.66,0.034,1.57,14244,0.065,34,27.1,Fair,1
9.61,0.061,1.24,19638,0.232,7,33.2,Fair,0
13.21,0.112,0.8,4654,0.018,51,27.9,Good,0
9.1,0.057,9.13,5324,0.004,38,30.2,Good,0
14.97,0.001,7.21,18929,0.13,40,23.2,Good,0
5.0,0.001,3.5,25546,0.001,71,24.6,Good,1
9.89,0.146,3.14,22612,0.016,81,19.9,Good,1
9.7,0.071,6.55,10177,0.013,24,24.4,Good,0
7.31,0.003,0.95,500,0.02,38,23.1,Good,1
13.99,0.057,0.67,17505,0.008,27,19.2,Fair,0
5.0,0.001,1.99,7434,0.051,27,28.0,Fair,1
6.99,0.021,1.1,8980,0.056,75,29.9,Good,1
11.57,0.054,1.79,5425,0.004,89,29.5,Good,0
12.68,0.08,1.37,29636,0.032,57,17.3,Good,0
5.0,0.076,0.9,16481,0.087,52,27.1,Fair,1
7.14,0.058,1.17,9584,0.1,13,29.5,Good,1
11.35,0.036,3.7,20884,0.028,28,33.9,Fair,1
6.85,0.039,5.5,21059,0.012,10,26.4,Fair,1
7.04,0.053,1.67,21234,0.02,44,24.8,Good,1
6.79,0.032,0.77,30291,0.018,61,25.9,Good,1
12.81,0.003,0.38,1651,0.125,39,30.3,Good,0
10.69,0.048,9.22,500,0.079,62,26.8,Good,1
10.44,0.013,0.98,24493,0.045,6,32.2,Fair,1
12.0,0.017,0.58,30529,0.005,75,26.2,Good,1
11.94,0.052,6.05,7669,0.015,6,31.8,Good,0
10.24,0.029,0.36,19432,0.04,37,17.2,Good,1
14.51,0.015,0.41,26348,0.103,89,12.6,Good,0
6.38,0.021,4.47,6397,0.057,31,26.7,Good,1
7.19,0.047,4.82,19256,0.035,67,26.8,Fair,1
16.26,0.076,0.87,6881,0.007,86,24.7,Good,0
7.05,0.004,0.23,16569,0.039,24,20.5,Fair,1
9.99,0.047,1.16,10285,0.018,57,32.9,Good,1
11.72,0.025,0.84,19022,0.022,82,34.0,Good,1
6.92,0.045,2.02,24840,0.071,43,28.4,Good,1
9.59,0.035,13.94,10249,0.021,48,24.2,Good,1
6.54,0.005,8.59,1501,0.027,37,21.5,Fair,1
15.86,0.067,11.29,18203,0.008,45,25.7,Fair,0
5.0,0.005,1.99,6807,0.009,67,35.8,Fair,1
13.57,0.017,6.5,8470,0.042,82,25.4,Good,0
9.78,0.023,3.62,14394,0.004,84,27.5,Fair,1
14.47,0.026,3.98,18931,0.016,84,27.8,Good,0
11.31,0.035,10.99,500,0.056,45,21.6,Good,1
8.79,0.019,0.22,21725,0.024,23,26.0,Good,1
11.28,0.035,1.74,18345,0.08,52,27.2,Fair,1
13.3,0.021,12.68,33179,0.012,58,29.4,Good,0
10.44,0.058,2.96,10087,0.013,61,24.4,Good,1
7.59,0.009,1.96,13978,0.036,46,22.2,Good,1
10.06,0.003,0.3,5626,0.043,53,25.8,Poor,1
13.07,0.004,0.18,16402,0.052,8,18.3,Poor,0
8.64,0.007,0.54,13250,0.007,49,21.4,Poor,1
6.15,0.119,0.62,22822,0.004,5,14.5,Fair,1
9.09,0.021,0.1,500,0.02,20,32.7,Good,1
11.99,0.011,0.41,18969,0.057,51,22.3,Good,1
9.45,0.017,6.1,12146,0.245,25,25.2,Good,0
10.15,0.021,15.31,19001,0.02,67,22.3,Good,1
11.3,0.081,0.25,18803,0.059,16,31.4,Good,1
5.0,0.227,0.58,7274,0.007,18,33.1,Poor,0
8.25,0.044,2.65,5608,0.027,35,32.5,Good,1
